QueryNumber;List
1;[110, 532, 0.053272041507181206]
1;[111, 417, 0.05323285535032737]
1;[112, 805, 0.053006308084898285]
1;[113, 139, 0.05281037418855187]
1;[114, 925, 0.05267275567920476]
1;[115, 869, 0.052637974497171384]
1;[116, 522, 0.05232842920596484]
1;[117, 43, 0.052212998820049615]
1;[118, 963, 0.05219292243583807]
1;[119, 1163, 0.05217714842298455]
1;[120, 1202, 0.052121357040423213]
1;[121, 1076, 0.05190303132759458]
1;[122, 478, 0.05175671609515948]
1;[123, 444, 0.05136465165074274]
1;[124, 738, 0.05136016079286178]
1;[125, 317, 0.0511196711439914]
1;[126, 330, 0.05110157915033651]
1;[127, 1215, 0.051047534231906756]
1;[128, 617, 0.05090305895872172]
1;[129, 1203, 0.05064709379355237]
1;[130, 300, 0.05026774967548988]
1;[131, 1093, 0.0500187998151324]
1;[132, 1059, 0.049322422398134]
1;[133, 766, 0.0492441473633614]
1;[134, 435, 0.049212569628951354]
1;[135, 440, 0.04914437379995671]
1;[136, 990, 0.048972999621931926]
1;[137, 861, 0.048842465846258454]
1;[138, 199, 0.04876782529247053]
1;[139, 1199, 0.048605981852762326]
1;[140, 157, 0.04834411682391846]
1;[141, 1200, 0.047964419829094156]
1;[142, 802, 0.04785378617579086]
1;[143, 386, 0.047680513341748464]
1;[144, 962, 0.04765165974407578]
1;[145, 1161, 0.04756352035741558]
1;[146, 747, 0.04738584449145569]
1;[147, 107, 0.04719666622485511]
1;[148, 538, 0.04690360510969809]
1;[149, 133, 0.046269437297516175]
1;[150, 606, 0.04605851151943149]
1;[151, 1036, 0.04604910192528121]
1;[152, 40, 0.04583611329877647]
1;[153, 767, 0.045820126751276884]
1;[154, 137, 0.045754908064818405]
1;[155, 498, 0.04539784065039966]
1;[156, 970, 0.04529284220671367]
1;[157, 179, 0.045259053617437525]
1;[158, 878, 0.04510504724418743]
1;[159, 564, 0.04508167151450466]
1;[160, 459, 0.04494852446555014]
1;[161, 765, 0.04421263207639092]
1;[162, 540, 0.04393021450604281]
1;[163, 463, 0.04378618848498414]
1;[164, 1091, 0.043568678204062884]
1;[165, 701, 0.04344176242589982]
1;[166, 543, 0.0431027575125567]
1;[167, 60, 0.042938429447265974]
1;[168, 909, 0.04263335851310459]
1;[169, 256, 0.04220877529235443]
1;[170, 567, 0.042081607383887804]
1;[171, 1035, 0.041990604662787236]
1;[172, 698, 0.041917881823834886]
1;[173, 1044, 0.04182335725308551]
1;[174, 47, 0.041608196491457076]
1;[175, 651, 0.041559723542172786]
1;[176, 1012, 0.04154681103844725]
1;[177, 289, 0.04122646393807466]
1;[178, 467, 0.04114296561173963]
1;[179, 28, 0.041111063387150704]
1;[180, 559, 0.04106830672314385]
1;[181, 876, 0.040887670073012215]
1;[182, 969, 0.04085386803767764]
1;[183, 999, 0.04053150624254448]
1;[184, 535, 0.04052947570696251]
1;[185, 159, 0.04032644020615185]
1;[186, 239, 0.04023192579879269]
1;[187, 776, 0.04020910824186363]
1;[188, 840, 0.03994774677259629]
1;[189, 208, 0.038768660214981]
1;[190, 710, 0.03836682379256674]
1;[191, 1166, 0.03803416730007018]
1;[192, 546, 0.03771662851889858]
1;[193, 18, 0.03770884482272591]
1;[194, 1009, 0.03757127487089713]
1;[195, 41, 0.03749896707426881]
1;[196, 906, 0.0370560880079338]
1;[197, 1193, 0.03684419525016822]
1;[198, 1081, 0.036752424498470763]
1;[199, 323, 0.03661766061724824]
1;[200, 321, 0.036547266822350905]
1;[201, 263, 0.03621606420060504]
1;[202, 733, 0.03603374635647269]
1;[203, 337, 0.035619918917719214]
1;[204, 389, 0.03548944874843503]
1;[205, 696, 0.03542782463732026]
1;[206, 272, 0.03540829721900466]
1;[207, 993, 0.03520729639758889]
1;[208, 1016, 0.035075147365648304]
1;[209, 221, 0.035044637490332306]
1;[210, 693, 0.03502201115153025]
1;[211, 907, 0.03483426336460976]
1;[212, 366, 0.03467144116629609]
1;[213, 973, 0.0346458004224014]
1;[214, 892, 0.034312758824403364]
1;[215, 956, 0.034290344901903004]
1;[216, 1220, 0.03427415767089157]
1;[217, 90, 0.03421525180691603]
1;[218, 225, 0.03402954906965685]
1;[219, 1207, 0.033959265681323965]
1;[220, 419, 0.03379466395669379]
1;[221, 316, 0.03367927533956685]
1;[222, 1112, 0.033574849107797046]
1;[223, 427, 0.03354963115122265]
1;[224, 980, 0.033269140542546365]
1;[225, 211, 0.03325206595307914]
1;[226, 457, 0.03320432744403528]
1;[227, 1197, 0.033077661845327816]
1;[228, 823, 0.033046136160033074]
1;[229, 218, 0.03297455923066585]
1;[230, 1227, 0.03291647418165188]
1;[231, 813, 0.03269787497425846]
1;[232, 871, 0.03247402304540405]
1;[233, 508, 0.03238900495546023]
1;[234, 836, 0.032297958400051924]
1;[235, 928, 0.032220147969425135]
1;[236, 1133, 0.03219855089331102]
1;[237, 976, 0.032049930850265786]
1;[238, 915, 0.03204108238075249]
1;[239, 848, 0.032008265895363014]
1;[240, 74, 0.03174087130981298]
1;[241, 49, 0.03167169401140666]
1;[242, 562, 0.03157854805905297]
1;[243, 406, 0.031383195766385895]
1;[244, 676, 0.03137870078064398]
1;[245, 314, 0.03107756965279213]
1;[246, 453, 0.031027115901422927]
1;[247, 458, 0.030982268646019]
1;[248, 333, 0.030972451232148656]
1;[249, 1152, 0.030681882031827305]
1;[250, 308, 0.030297594490613186]
1;[251, 284, 0.03018883147334682]
1;[252, 1151, 0.03004198656729601]
1;[253, 506, 0.030038959342679184]
1;[254, 488, 0.030023575790184144]
1;[255, 570, 0.029916426051517286]
1;[256, 290, 0.029827459406588187]
1;[257, 541, 0.02979671992369625]
1;[258, 292, 0.029787096065023434]
1;[259, 373, 0.029770496123158668]
1;[260, 1050, 0.02957332339675339]
1;[261, 414, 0.02956686563959897]
1;[262, 852, 0.02941026475377211]
1;[263, 61, 0.029403942855696728]
1;[264, 614, 0.029396110719359044]
1;[265, 904, 0.029367625067898993]
1;[266, 7, 0.029303600437285807]
1;[267, 454, 0.02921954684326348]
1;[268, 923, 0.028973325375254603]
1;[269, 563, 0.028940965928515822]
1;[270, 307, 0.028866562019211894]
1;[271, 303, 0.028855595645091502]
1;[272, 1137, 0.028845392556260833]
1;[273, 1121, 0.0287512213454224]
1;[274, 633, 0.028676635295702257]
1;[275, 1078, 0.028619705458277106]
1;[276, 1071, 0.02861489563794299]
1;[277, 705, 0.028610792204934128]
1;[278, 1120, 0.028573940331185196]
1;[279, 536, 0.02856168236104716]
1;[280, 62, 0.028533116742599177]
1;[281, 830, 0.028516344822327327]
1;[282, 469, 0.028510145933834875]
1;[283, 1208, 0.02839947287260413]
1;[284, 92, 0.028310749008959798]
1;[285, 425, 0.028280466273939295]
1;[286, 685, 0.02822838153315993]
1;[287, 270, 0.02813123980418355]
1;[288, 790, 0.028018818699030012]
1;[289, 163, 0.027898122746044553]
1;[290, 400, 0.02786016239998284]
1;[291, 63, 0.027832637273837543]
1;[292, 293, 0.027663609253987958]
1;[293, 201, 0.02755450490656956]
1;[294, 760, 0.027544375728461915]
1;[295, 549, 0.027477417609872375]
1;[296, 959, 0.027464166882000252]
1;[297, 578, 0.027460514542055846]
1;[298, 945, 0.027450026968395817]
1;[299, 1179, 0.027379332907288712]
1;[300, 283, 0.02735019556434547]
1;[301, 1043, 0.027330588929001167]
1;[302, 936, 0.027174472087360534]
1;[303, 981, 0.02705881020769478]
1;[304, 971, 0.027004140240030904]
1;[305, 844, 0.02690550081451549]
1;[306, 965, 0.026847849420851676]
1;[307, 269, 0.026824404737446513]
1;[308, 1183, 0.026699684646730417]
1;[309, 1149, 0.02650366760858908]
1;[310, 1040, 0.026466695393863305]
1;[311, 251, 0.02645034876918661]
1;[312, 901, 0.026449946023977978]
1;[313, 629, 0.026264928199701144]
1;[314, 838, 0.026085585269827957]
1;[315, 296, 0.026062126169109676]
1;[316, 794, 0.026057391278482302]
1;[317, 455, 0.025953100854639838]
1;[318, 905, 0.025886940389512843]
1;[319, 707, 0.0258633441169231]
1;[320, 1169, 0.02579469483851194]
1;[321, 581, 0.02569515325301925]
1;[322, 13, 0.025596420494803398]
1;[323, 1041, 0.025497136563858967]
1;[324, 187, 0.025411907103316478]
1;[325, 466, 0.025312079800946106]
1;[326, 1117, 0.025268909812140156]
1;[327, 589, 0.025056728733686924]
1;[328, 638, 0.024960130520460116]
1;[329, 471, 0.02493765392879875]
1;[330, 224, 0.024894114108028397]
1;[331, 359, 0.02488457073857532]
1;[332, 697, 0.024662764139014744]
1;[333, 394, 0.024588940895572262]
1;[334, 1029, 0.024584616289938153]
1;[335, 1003, 0.02457983157730731]
1;[336, 987, 0.024578599649864842]
1;[337, 482, 0.02457788571405398]
1;[338, 809, 0.02455361361730998]
1;[339, 673, 0.02455295772298617]
1;[340, 242, 0.024532357741745475]
1;[341, 575, 0.024450864446196055]
1;[342, 324, 0.02442537139243163]
1;[343, 142, 0.02439988082011387]
1;[344, 584, 0.024377641392425466]
1;[345, 917, 0.024296248696333747]
1;[346, 174, 0.024079488058034466]
1;[347, 3, 0.023997766085835318]
1;[348, 124, 0.02395980028458563]
1;[349, 1155, 0.023934327535553628]
1;[350, 101, 0.023870641383109358]
1;[351, 717, 0.02384225809390928]
1;[352, 566, 0.023811918009134233]
1;[353, 59, 0.0238090883334518]
1;[354, 602, 0.023800149679626244]
1;[355, 140, 0.02378054616140812]
1;[356, 1164, 0.023655311883611193]
1;[357, 634, 0.023621716518502048]
1;[358, 517, 0.023613940649082763]
1;[359, 1135, 0.02361050212546001]
1;[360, 411, 0.023550635642658645]
1;[361, 898, 0.023364586119152986]
1;[362, 336, 0.023322631003597126]
1;[363, 815, 0.02322187940515993]
1;[364, 401, 0.023213549167903663]
1;[365, 796, 0.023094070726483097]
1;[366, 223, 0.02307371171383991]
1;[367, 489, 0.022959677711004156]
1;[368, 1178, 0.02290588331857847]
1;[369, 1096, 0.022816290582303264]
1;[370, 565, 0.02280612335183004]
1;[371, 680, 0.022802547210043485]
1;[372, 1181, 0.02267529691820514]
1;[373, 542, 0.02263766082134849]
1;[374, 964, 0.022603978027918595]
1;[375, 173, 0.02250709671702946]
1;[376, 1162, 0.022390942680858453]
1;[377, 108, 0.022378008364310278]
1;[378, 1034, 0.022264296620469377]
1;[379, 1165, 0.02222031720687911]
1;[380, 731, 0.022195045619805932]
1;[381, 320, 0.022152992310425296]
1;[382, 899, 0.02212395111091851]
1;[383, 911, 0.02211141357748077]
1;[384, 1175, 0.02210954397479206]
1;[385, 1171, 0.022106176888920026]
1;[386, 768, 0.022083106768270546]
1;[387, 1103, 0.022075513915789387]
1;[388, 281, 0.02206775916206822]
1;[389, 1136, 0.02203171315050337]
1;[390, 226, 0.02192229912579675]
1;[391, 818, 0.021903180113849337]
1;[392, 986, 0.02180484843936842]
1;[393, 110, 0.021803391807161464]
1;[394, 205, 0.021776488481648013]
1;[395, 550, 0.02175843878803967]
1;[396, 858, 0.0216805501461923]
1;[397, 1128, 0.021664328492396533]
1;[398, 624, 0.021634386793772727]
1;[399, 436, 0.02160941004128865]
1;[400, 944, 0.021552583890292742]
1;[401, 1172, 0.021520144543926513]
1;[402, 355, 0.02151177300439]
1;[403, 150, 0.021511588699233877]
1;[404, 926, 0.021510162207320698]
1;[405, 418, 0.021476402578264858]
1;[406, 771, 0.02144903108692588]
1;[407, 4, 0.021435981024278038]
1;[408, 924, 0.021409983462363478]
1;[409, 585, 0.021400558117737393]
1;[410, 648, 0.021383535269373935]
1;[411, 102, 0.021339336156669057]
1;[412, 347, 0.021326642361677892]
1;[413, 576, 0.021249744620329913]
1;[414, 152, 0.021209565195987694]
1;[415, 190, 0.021166889973371253]
1;[416, 988, 0.021106669977148655]
1;[417, 38, 0.021104492861053172]
1;[418, 998, 0.02110150115188615]
1;[419, 652, 0.02109609207251333]
1;[420, 243, 0.02103360081861641]
1;[421, 1106, 0.02086049524877863]
1;[422, 870, 0.02085340322981514]
1;[423, 33, 0.02082457381085296]
1;[424, 785, 0.020780993222452422]
1;[425, 1067, 0.020775028651924154]
1;[426, 450, 0.020736431553123515]
1;[427, 647, 0.020693790676546274]
1;[428, 148, 0.02067808001711161]
1;[429, 1211, 0.020577604992383636]
1;[430, 822, 0.020564767234385106]
1;[431, 977, 0.020535986207166106]
1;[432, 684, 0.02049600102679268]
1;[433, 380, 0.020359334104275466]
1;[434, 1205, 0.020355569929693517]
1;[435, 1209, 0.020345628130612848]
1;[436, 831, 0.020338271266178258]
1;[437, 961, 0.020294280996023695]
1;[438, 1206, 0.0202623345810106]
1;[439, 438, 0.02000641274672658]
1;[440, 475, 0.019965064535245363]
1;[441, 1170, 0.019848137266134942]
1;[442, 691, 0.019804745917238447]
1;[443, 334, 0.019796467893878334]
1;[444, 1115, 0.019742149079246554]
1;[445, 31, 0.019707304352837803]
1;[446, 165, 0.019699282517844575]
1;[447, 755, 0.019659534807577077]
1;[448, 722, 0.019577596247516038]
1;[449, 495, 0.01955910163972353]
1;[450, 1005, 0.019551870352531173]
1;[451, 378, 0.019491457445588136]
1;[452, 951, 0.01943485755062849]
1;[453, 1090, 0.019357555877053546]
1;[454, 845, 0.019353914938345484]
1;[455, 1019, 0.019263898570699368]
1;[456, 689, 0.019253071282109124]
1;[457, 1233, 0.019232213533543218]
1;[458, 141, 0.019207731897140028]
1;[459, 89, 0.019197614312061025]
1;[460, 1222, 0.01912179277143003]
1;[461, 597, 0.019106801547773604]
1;[462, 248, 0.019072729753933315]
1;[463, 561, 0.01899453337252187]
1;[464, 415, 0.01898858009570939]
1;[465, 424, 0.018903390530629952]
1;[466, 1158, 0.018886014954509128]
1;[467, 313, 0.018839986963415375]
1;[468, 1182, 0.01880978670719378]
1;[469, 853, 0.01880723209345624]
1;[470, 1099, 0.018792596033838704]
1;[471, 946, 0.01876345957139365]
1;[472, 206, 0.01873220596961216]
1;[473, 143, 0.01870271900801544]
1;[474, 751, 0.018689518262931606]
1;[475, 984, 0.018685295817369323]
1;[476, 669, 0.018667930699767417]
1;[477, 553, 0.01863699688965384]
1;[478, 1092, 0.018622212213365727]
1;[479, 494, 0.018559623799272805]
1;[480, 118, 0.01855773090081453]
1;[481, 1173, 0.01837919568035156]
1;[482, 895, 0.018365087712511503]
1;[483, 662, 0.018345813704345976]
1;[484, 798, 0.01830418532721872]
1;[485, 572, 0.0182322063215656]
1;[486, 588, 0.018121430025425798]
1;[487, 797, 0.01810559921296993]
1;[488, 989, 0.018095033769226915]
1;[489, 55, 0.017990031257746193]
1;[490, 631, 0.017981366953797977]
1;[491, 382, 0.01797694079285946]
1;[492, 1210, 0.01788934369488356]
1;[493, 144, 0.017884661238887857]
1;[494, 632, 0.017834623295142796]
1;[495, 278, 0.01780622649028749]
1;[496, 573, 0.017790331538808088]
1;[497, 1142, 0.017692891049996825]
1;[498, 625, 0.017612616667827638]
1;[499, 312, 0.017572281839622728]
1;[500, 807, 0.017425292116056246]
1;[501, 726, 0.017383506374846553]
1;[502, 279, 0.017223849567157248]
1;[503, 297, 0.017162112623320108]
1;[504, 83, 0.01710627858776574]
1;[505, 812, 0.017094785737669326]
1;[506, 811, 0.01708654148184706]
1;[507, 404, 0.017081408271488255]
1;[508, 1177, 0.017017180368259072]
1;[509, 786, 0.016979143767711417]
1;[510, 236, 0.016972717511648205]
1;[511, 1157, 0.01693778630624744]
1;[512, 358, 0.0167688784234084]
1;[513, 1148, 0.016691831984987197]
1;[514, 185, 0.01667362870397712]
1;[515, 586, 0.016482135902742723]
1;[516, 930, 0.016426930969393436]
1;[517, 1014, 0.016282819200291725]
1;[518, 322, 0.016221420287232308]
1;[519, 1146, 0.016124757086783823]
1;[520, 1039, 0.01611815383099913]
1;[521, 694, 0.016104355599930557]
1;[522, 829, 0.01607583214089753]
1;[523, 748, 0.01590956471850779]
1;[524, 860, 0.015855505321012764]
1;[525, 525, 0.015830290173104774]
1;[526, 864, 0.015745188925223325]
1;[527, 260, 0.015727517056881357]
1;[528, 1213, 0.015471004359679042]
1;[529, 175, 0.015459494019264003]
1;[530, 1002, 0.01545068066278408]
1;[531, 628, 0.015392466974184954]
1;[532, 485, 0.015373778517031271]
1;[533, 1192, 0.015285024908489776]
1;[534, 828, 0.015281865250385203]
1;[535, 1214, 0.015260993625414995]
1;[536, 1125, 0.015236180019722255]
1;[537, 1057, 0.015224885886337768]
1;[538, 997, 0.015153832243766109]
1;[539, 574, 0.015128127905453656]
1;[540, 881, 0.01510400132837584]
1;[541, 671, 0.01499256817851606]
1;[542, 716, 0.014923803876608955]
1;[543, 397, 0.014911187620840427]
1;[544, 51, 0.014779975175714883]
1;[545, 749, 0.01468889710939249]
1;[546, 375, 0.014520441251182868]
1;[547, 1190, 0.014351195098677785]
1;[548, 1049, 0.014322589529036082]
1;[549, 968, 0.014202868364058985]
1;[550, 665, 0.014124133673906641]
1;[551, 571, 0.014099746468496259]
1;[552, 235, 0.014078704490296755]
1;[553, 780, 0.013959999770977517]
1;[554, 1160, 0.013931422682495255]
1;[555, 902, 0.013924178504365723]
1;[556, 204, 0.013866274790529787]
1;[557, 704, 0.013848852237733229]
1;[558, 126, 0.01375682020648308]
1;[559, 655, 0.013645113855253433]
1;[560, 1237, 0.013487527860587344]
1;[561, 1083, 0.013484417227061552]
1;[562, 949, 0.013452562336824235]
1;[563, 104, 0.01334965948618157]
1;[564, 170, 0.013341278037457391]
1;[565, 39, 0.013321848827483329]
1;[566, 833, 0.013317829319433983]
1;[567, 335, 0.013237691519534323]
1;[568, 740, 0.01322156958732506]
1;[569, 280, 0.013112154705303625]
1;[570, 534, 0.013073339356589624]
1;[571, 877, 0.013053247420699732]
1;[572, 819, 0.012989686157120572]
1;[573, 520, 0.012987427957772893]
1;[574, 646, 0.012847889382428668]
1;[575, 10, 0.012783356722162725]
1;[576, 1143, 0.012695140041910637]
1;[577, 1216, 0.012597541688750918]
1;[578, 357, 0.01247508682744455]
1;[579, 610, 0.012454902370751027]
1;[580, 739, 0.012249571379164385]
1;[581, 1204, 0.012221577884835168]
1;[582, 554, 0.012221013480077187]
1;[583, 1007, 0.012144536091949518]
1;[584, 834, 0.012134517614410506]
1;[585, 301, 0.012024551759682494]
1;[586, 954, 0.012019054120178587]
1;[587, 48, 0.011992493766759944]
1;[588, 623, 0.011966113210140187]
1;[589, 273, 0.011914072012265195]
1;[590, 121, 0.01189348859789176]
1;[591, 972, 0.011864318652386048]
1;[592, 431, 0.01168075910940974]
1;[593, 692, 0.011585465789988016]
1;[594, 191, 0.011577949667040593]
1;[595, 262, 0.011566854373184752]
1;[596, 530, 0.011489407996697634]
1;[597, 985, 0.011483450551913668]
1;[598, 746, 0.011426497544883913]
1;[599, 1054, 0.0113937896644869]
1;[600, 420, 0.011392816517975317]
1;[601, 1025, 0.011342189484002452]
1;[602, 184, 0.011324918505991417]
1;[603, 1018, 0.011306770543972857]
1;[604, 306, 0.011288113947504175]
1;[605, 1024, 0.011284277259546319]
1;[606, 480, 0.011228539501887878]
1;[607, 851, 0.011087331580334798]
1;[608, 402, 0.010980799336666533]
1;[609, 934, 0.010893775517800904]
1;[610, 764, 0.010887104188838995]
1;[611, 217, 0.010860564338854106]
1;[612, 210, 0.01083744429103709]
1;[613, 715, 0.01079802846131554]
1;[614, 42, 0.01065925851138655]
1;[615, 1156, 0.010602831512113652]
1;[616, 1060, 0.010595339197072725]
1;[617, 772, 0.01046051481774962]
1;[618, 826, 0.010442885209247469]
1;[619, 167, 0.010345824909649106]
1;[620, 639, 0.010298280511574451]
1;[621, 231, 0.010287631104316493]
1;[622, 874, 0.010232414922000636]
1;[623, 745, 0.010221331010430905]
1;[624, 916, 0.010092721601134698]
1;[625, 1114, 0.009983241163730549]
1;[626, 524, 0.009921501751068696]
1;[627, 390, 0.009898526048444708]
1;[628, 793, 0.009856262860990379]
1;[629, 113, 0.009723617807037944]
1;[630, 64, 0.009695996524234215]
1;[631, 282, 0.009689324155299574]
1;[632, 1015, 0.009663959218818576]
1;[633, 1082, 0.009617212071957959]
1;[634, 1126, 0.009576714988792081]
1;[635, 903, 0.009554076606716016]
1;[636, 407, 0.009519530338330053]
1;[637, 477, 0.00949464337194279]
1;[638, 700, 0.009414738145075844]
1;[639, 26, 0.009397579492825528]
1;[640, 752, 0.00939174708894731]
1;[641, 1132, 0.009346354173045631]
1;[642, 683, 0.009346281482344935]
1;[643, 68, 0.009335177590315099]
1;[644, 229, 0.009309169141743902]
1;[645, 339, 0.00929902240312159]
1;[646, 227, 0.009227630195054518]
1;[647, 391, 0.009014114315792257]
1;[648, 161, 0.008927277241965022]
1;[649, 182, 0.00889577699221861]
1;[650, 687, 0.008849101183234478]
1;[651, 1118, 0.00882600142438833]
1;[652, 1053, 0.00882065337272409]
1;[653, 1058, 0.008800947264388015]
1;[654, 859, 0.008798907030021954]
1;[655, 883, 0.008754953057190337]
1;[656, 718, 0.008738769635828314]
1;[657, 650, 0.008720654654086526]
1;[658, 1189, 0.008707709641367082]
1;[659, 160, 0.008700411998820861]
1;[660, 254, 0.008566804433856923]
1;[661, 736, 0.008562229465006382]
1;[662, 929, 0.008520716993600713]
1;[663, 931, 0.00849546014452778]
1;[664, 591, 0.008458731531936383]
1;[665, 1147, 0.00845726777327577]
1;[666, 433, 0.008429471691306801]
1;[667, 1032, 0.00840308170373433]
1;[668, 80, 0.008389477241818523]
1;[669, 169, 0.008378298893015505]
1;[670, 1239, 0.008373111716861862]
1;[671, 1124, 0.008357004832392283]
1;[672, 177, 0.008338681824877533]
1;[673, 884, 0.008319881147540736]
1;[674, 649, 0.008301420304685735]
1;[675, 863, 0.008299907991176062]
1;[676, 590, 0.008286908426725052]
1;[677, 759, 0.008285608125095018]
1;[678, 361, 0.008264213717018971]
1;[679, 130, 0.00824371984447145]
1;[680, 657, 0.008192184158245642]
1;[681, 889, 0.008169881855116601]
1;[682, 310, 0.008165515080791773]
1;[683, 21, 0.008149618519243743]
1;[684, 808, 0.008121506248828693]
1;[685, 237, 0.00811179624470229]
1;[686, 727, 0.008086123980183442]
1;[687, 233, 0.008046464743922881]
1;[688, 230, 0.008028375482910344]
1;[689, 474, 0.008018168901631062]
1;[690, 528, 0.008004965751096379]
1;[691, 1111, 0.007992951796698218]
1;[692, 409, 0.007990464806442334]
1;[693, 706, 0.007987703641930056]
1;[694, 88, 0.00798457328425854]
1;[695, 156, 0.007982141034232414]
1;[696, 770, 0.007978856838714436]
1;[697, 449, 0.007975523802599213]
1;[698, 608, 0.007928597140658883]
1;[699, 599, 0.007907412240167945]
1;[700, 12, 0.007904145906208053]
1;[701, 164, 0.007900184589603976]
1;[702, 1141, 0.007871720689985094]
1;[703, 670, 0.007858825577439601]
1;[704, 222, 0.007851399279559874]
1;[705, 583, 0.00783825863624975]
1;[706, 408, 0.007811463834131829]
1;[707, 82, 0.007811094356379209]
1;[708, 983, 0.007789550949983644]
1;[709, 888, 0.007775432166673028]
1;[710, 618, 0.00776779734435634]
1;[711, 775, 0.0077542907356818215]
1;[712, 1212, 0.007752573406712845]
1;[713, 1134, 0.007734990710521988]
1;[714, 897, 0.00772584034037166]
1;[715, 1056, 0.007716907435049229]
1;[716, 1, 0.007716613789399356]
1;[717, 1198, 0.0077097768721238686]
1;[718, 1077, 0.007670368972094473]
1;[719, 992, 0.007651847600325857]
1;[720, 255, 0.007626971255763983]
1;[721, 728, 0.0076263062596397735]
1;[722, 119, 0.00762602363437921]
1;[723, 942, 0.007623800569306004]
1;[724, 865, 0.00762360360170584]
1;[725, 50, 0.007619747616297955]
1;[726, 873, 0.00756709324102991]
1;[727, 245, 0.007527233779965658]
1;[728, 410, 0.007519562384443237]
